wrong,right
10성,십성
1월 성신,일월성신
천관별,천간별
신자진 국을 지르고요,신자진 국을 이루고요
이정화 선생님,이제마 선생님
이자야마 선생,이제마 선생
이재명 선생님,이제마 선생
동의 수세보원,동의수세보원
그 복을 폐로,그 목을 폐로
북을 이루어서,국을 이루어서
이제마 4조,이제마 사주
이정화 선생,이제마 선생
4.3 의학,사상의학
동인수세보원,동의수세보원
부관한다면은,투간한다면은
푸는 비비,토는 비위
심금 편제,신금 편재
수온이라는,수 운이라는
붉어나가면,불어나가면
술을 봐야,수를 봐야
1가능에는,일간으로는
활을 봐야,화를 봐야
태는 금,폐는 금
복국토다,목극토다
이사경은,이 사주는
공부한테,공부할 때
통정대구,통정대부
통운대구,통훈대부
왕세강약,왕쇠강약
쟁제쟁관,쟁재쟁관
10점을,십성을
단락해도,달라고 해도
목국도,목극토
관사를,관살을
사조를,사주를
사두에,사주에
수색묵,수생목
금극무,금극목
당삼각,당상관
붕괴가,품계가
새해질,쇠해질
공관은,상관은
4조,사주
1주,일주
1조,일주
채용,체용
귀신,기신
무반,무관
감묵,갑목
감복,갑목
걸록,건록
이자마 선생,이제마 선생
토복수,토극수
방약왕세,강약왕세
고친,고층
나나니까,난하니까
강세왕략,왕쇠강약
이 과목이 이미 사목적 성향의 상징성을 띕니다.,이 갑목이 이미 사목적 성향의 상징성을 띕니다.
만약에 속이 차갑 겉이 여래 있는데,만약에 속이 차갑고 겉에 열이 있는데
이 과목이 자수를 끌어내서 쓰는데,이 갑목이 자수를 끌어내서 쓰는데
과목 하나 따로 건드려야 돼.,갑목 하나 따로 건드려야 돼.
