wrong,right
10성,십성
1월 성신,일월성신
천관별,천간별
신자진 국을 지르고요,신자진 국을 이루고요
이정화 선생님,이제마 선생님
이자야마 선생,이제마 선생
이재명 선생님,이제마 선생
동의 수세보원,동의수세보원
그 복을 폐로,그 목을 폐로
북을 이루어서,국을 이루어서
이제마 4조,이제마 사주
이정화 선생,이제마 선생
4.3 의학,사상의학
동인수세보원,동의수세보원
부관한다면은,투간한다면은
푸는 비비,토는 비위
심금 편제,신금 편재
심금,신금
심금은,신금은
심금의,신금의
심금이,신금이
심금에,신금에
심금한테,신금한테
심금이나,신금이나
심금이라든지,신금이라든지
심금이에요,신금이에요
심금이든지,신금이든지
심금이니까,신금이니까
심금이잖아요,신금이잖아요
심금이면,신금이면
심금이죠,신금이죠
심금을,신금을
심금상관,신금상관
수온이라는,수 운이라는
붉어나가면,불어나가면
술을 봐야,수를 봐야
1가능에는,일간으로는
활을 봐야,화를 봐야
태는 금,폐는 금
복국토다,목극토다
이사경은,이 사주는
공부한테,공부할 때
통정대구,통정대부
통운대구,통훈대부
왕세강약,왕쇠강약
쟁제쟁관,쟁재쟁관
10점을,십성을
단락해도,달라고 해도
목국도,목극토
관사를,관살을
사조를,사주를
사두에,사주에
사조로 상담을 해서,사주로 상담을 해서
수색목,수생목
수색묵,수생목
수색 목,수생목
수색 못,수생목
수색 몫,수생목
금극묵,금극목
금궁목,금극목
금긍목,금극목
금공목,금극목
금금목,금극목
금 금 목,금극목
"금, 금 목",금극목
금극무,금극목
당삼각,당상관
붕괴가,품계가
새해질,쇠해질
공관은,상관은
4조,사주
1주,일주
1조,일주
운양,음양
채용변,체용변
채용을 바꾸는,체용을 바꾸는
채용을 바꿔서,체용을 바꿔서
채용이라는 용어는,체용이라는 용어는
채용에 대한 부분은,체용에 대한 부분은
채용적 부분은,체용적 부분은
채용의 문제라고요,체용의 문제라고요
채용의 문제라고 얘기를 합니다.,체용의 문제라고 얘기를 합니다.
채용의 문제니까,체용의 문제니까
채용하느냐의 문제예요,체용하느냐의 문제예요
채용이 바뀐다,체용이 바뀐다
채용이 바뀌어서,체용이 바뀌어서
수화는 채용이 다르다,수화는 체용이 다르다
채용을 달리 보신 거예요,체용을 달리 보신 거예요
채용이 달라진 거죠,체용이 달라진 거죠
채용의 문제들을,체용의 문제들을
채용은 제가 얘기하는 게 아니고,체용은 제가 얘기하는 게 아니고
이 채용은,이 체용은
채로 놓고,체로 놓고
채를 놓고,체를 놓고
채로 돼,체로 돼
귀신의 용법,길신의 용법
귀신이 밖에 있다는 건,기신이 밖에 있다는 건
그 귀신에 대한,그 기신에 대한
다 귀신이 유정하면 안 돼요,다 기신이 유정하면 안 돼요
질신,길신
제관 인식,재관인식
식신 재살,식신 제살
상관 재살,상관 제살
식상재살,식상제살
재살한다,제살한다
재살이라고,제살이라고
Muto,무토
무투,무토
관사리,관살이
식신호로,식신으로
조한사조,조한사주
조안사조,조한사주
사조 해석,사주 해석
사조를 해석,사주를 해석
사조 공부,사주 공부
사조의 구성,사주의 구성
사조 구성,사주 구성
사조를 파악,사주를 파악
사조 추론,사주 추론
사조 보는,사주 보는
사조를 볼 때,사주를 볼 때
사조를 보고,사주를 보고
사조 보고,사주 보고
사조를 잘 보려면,사주를 잘 보려면
사조 전체,사주 전체
사조 안에,사주 안에
사조도,사주도
사조에서,사주에서
사조적으로,사주적으로
사조적,사주적
사조에 목이 없다고,사주에 목이 없다고
사조첩경,사주첩경
첩사조,첩사주
좋은 사조,좋은 사주
나쁜 사조,나쁜 사주
이 사조는,이 사주는
그 사조의,그 사주의
경금과심금,경금과 신금
심금적,신금적
심금보다,신금보다
심금이든,신금이든
채용채용,체용체용
채용화,체용화
사조라는,사주라는
사조의 목 기준,사주의 목 기준
목이 많은 사조,목이 많은 사주
인간에 목매는 순간 사조는,인간에 목매는 순간 사주는
혼잡된 사조들,혼잡된 사주들이
사조해석,사주해석
사조에 대입해서,사주에 대입해서
사조를 보면,사주를 보면
사조를 보면은,사주를 보면은
사조쟁이라고,사주쟁이라고
명사조,명사주
사조를 풀로,사주를 툴로
사조적 해석,사주적 해석
사조를 본다는,사주를 본다는
사조에서 연결고리를,사주에서 연결고리를
사조는 말 그대로,사주는 말 그대로
그런 사조는,그런 사주는
사조 틀,사주 틀
사조의 유돌 글자는,사주 여덟 글자는
사조에 무토가,사주에 무토가
사조를 공부하고,사주를 공부하고
사조의 개별적인,사주의 개별적인
사조에 뭐 이렇게,사주에 뭐 이렇게
사조는 그 절망을,사주는 그 절망을
이 사조 이렇게,이 사주 이렇게
사조에서 이런 것들이,사주에서 이런 것들이
이런 사조를 보면은,이런 사주를 보면은
사조를 보면서,사주를 보면서
죄수,계수
무반,무관
감묵,갑목
감묵은,갑목은
감묵의,갑목의
감묵이,갑목이
감묵에,갑목에
감묵한테,갑목한테
감묵이나,갑목이나
감묵이라든지,갑목이라든지
감묵이에요,갑목이에요
감묵이든지,갑목이든지
감묵이니까,갑목이니까
감묵이잖아요,갑목이잖아요
감묵이면,갑목이면
감묵이죠,갑목이죠
감복,갑목
걸록,건록
심금일간,신금일간
이자마 선생,이제마 선생
토복수,토극수
토국수,토극수
토국수는,토극수는
토국수의,토극수의
토국수가,토극수가
토국수에,토극수에
토국수로,토극수로
토국수도,토극수도
토국수고,토극수고
토국수면,토극수면
토국수죠,토극수죠
토국수예요,토극수예요
목국토,목극토
목국토는,목극토는
목국토의,목극토의
목국토가,목극토가
목국토에,목극토에
목국토로,목극토로
목국토도,목극토도
목국토고,목극토고
목국토면,목극토면
목국토죠,목극토죠
목국토예요,목극토예요
방약왕세,강약왕세
고친,고층
나나니까,난하니까
강세왕략,왕쇠강약
이 과목이 이미 사목적 성향의 상징성을 띕니다.,이 갑목이 이미 사목적 성향의 상징성을 띕니다.
만약에 속이 차갑 겉이 여래 있는데,만약에 속이 차갑고 겉에 열이 있는데
이 과목이 자수를 끌어내서 쓰는데,이 갑목이 자수를 끌어내서 쓰는데
과목 하나 따로 건드려야 돼.,갑목 하나 따로 건드려야 돼.
항만조습,한난조습
항만조습이에요,한난조습이에요
관묵,갑목
관묵은,갑목은
관묵의,갑목의
관묵이,갑목이
관묵에,갑목에
관묵한테,갑목한테
관묵이나,갑목이나
관묵이라든지,갑목이라든지
관묵이에요,갑목이에요
관묵이든지,갑목이든지
관묵이니까,갑목이니까
관묵이잖아요,갑목이잖아요
관묵이면,갑목이면
관묵이죠,갑목이죠
모기 개입,목이 개입
규정시키는 게 관여예요.,규정시키는 게 관이에요.
그게 관여예요.,그게 관이에요.
이게 관여예요.,이게 관이에요.
조건의 관여예요.,조건인 거예요.
고지식한 관여예요.,고지식한 관이에요.
기포면은 이게 정관여예요.,기토면은 이게 정관이에요.
이게 정관여예요.,이게 정관이에요.
상관은 사례 정관여예요.,상관은 살의 정관이에요.
이렇게 닥터이면은,이렇게 박토이면은
배수 기포를 만나면은,계수를 만나면은
계수 배수가 붙는 순간,계수가 붙는 순간
배수가 가장 음해요.,계수가 가장 음해요.
배수로 축축하게 적셔야 되나?,계수로 축축하게 적셔야 되나?
배수로 연결되면은,계수로 연결되면은
배수의 가치가 제대로 발현되는 거죠.,계수의 가치가 제대로 발현되는 거죠.
"관무기, 사무기라는 것은",갑목이 사목이라는 것은
그게 수생무기라고요.,그게 수생목이라고요.
요수생무기라고요.,요 수생목이라고요.
수생무기라고요.,수생목이라고요.
수생무기라고 할 때,수생목이라고 할 때
수생모기 기준이니까.,수생목이 기준이니까.
수생모기지는,수생목이지는
수생모기 저,수생목이 저
생무기 빛을 본 것은,생목이 빛을 본 것은
생모기 풀어서 쓰려면,생목이 풀어서 쓰려면
이 모기 생모기면,이 목이 생목이면
사모기 빛을 보는 것과 생모기 빛을 보는 거의 작용이 달라지겠죠.,사목이 빛을 보는 것과 생목이 빛을 보는 것의 작용이 달라지겠죠.
생무기인지,생목인지
사무기인지,사목인지
생무기,생목이
사무기,사목이
생모기,생목이
사모기,사목이
수생무기,수생목이
수생모기,수생목이
관무기,갑목이
배수,계수
배수가,계수가
배수는,계수는
배수의,계수의
배수에,계수에
배수로,계수로
배수도,계수도
배수고,계수고
배수를,계수를
기포,기토
기포가,기토가
기포는,기토는
기포의,기토의
기포에,기토에
기포로,기토로
기포도,기토도
기포고,기토고
기포를,기토를
기포면,기토면
기포면은,기토면은
기포라고요,기토라고요
cg,시지
Cg,시지
CG,시지
진술층미,진술축미
한란조습,한난조습
처음 우리가 했던 한난조석이,처음 우리가 했던 한난조습이
OEM으로 얘기하면,오행으로 얘기하면
이런 한난조석과 다 연결돼 있다고,이런 한난조습과 다 연결돼 있다고
귀신을 어떻게 다룰 수 있을까를,기신을 어떻게 다룰 수 있을까를
요즘에 한남조석으로 궁합을,요즘에 한난조습으로 궁합을
그 내면에 있는 한남조습을,그 내면에 있는 한난조습을
오늘은 오행의 향랑조습을,오늘은 오행의 한난조습을
그대로 한남조습의 관계로,그대로 한난조습의 관계로
한남조습으로 보자고요.,한난조습으로 보자고요.
모토,무토
슬톤,술토
주토,축토
죽토,축토
무술일조,무술일주
